timestamp,open,high,low,close,volume
1672531200000,16500.0,16505.0,16498.0,16502.0,10.5
1672531260000,16502.0,16508.0,16501.0,16507.0,12.3
1672531320000,16507.0,16510.0,16505.0,16509.0,8.1
1672531380000,16509.0,16515.0,16508.0,16512.0,15.0
1672531440000,16512.0,16512.0,16505.0,16506.0,11.2
1672531500000,16506.0,16510.0,16500.0,16501.0,20.9
1672531560000,16501.0,16505.0,16495.0,16498.0,18.7
1672531620000,16498.0,16502.0,16498.0,16500.0,9.5
1672531680000,16500.0,16508.0,16499.0,16507.5,13.3
1672531740000,16507.5,16511.0,16507.0,16510.0,7.8
